# Per-triangle psi statistic data for n=7
# Format: triangle_index l1[0..n-1] l2[0..2n-1] | psi_dist (q:count pairs)
# Canonical triangles with level1 = (0,1,...,n-1) and boundary ordering
# Total triangles: 3098
# Each row: idx l1_data l2_data | q0:c0 q1:c1 ...
#
81 0 1 2 3 4 5 6 | 0 1 3 2 4 1 5 0 3 2 4 5 6 6 | 4:8 5:70 6:196 7:360 8:524 9:650 10:712 11:712 12:650 13:524 14:360 15:196 16:70 17:8 
82 0 1 2 3 4 5 6 | 0 1 3 2 4 1 5 0 3 2 6 4 5 6 | 5:38 6:160 7:346 8:532 9:668 10:776 11:776 12:668 13:532 14:346 15:160 16:38 
83 0 1 2 3 4 5 6 | 0 1 3 2 4 1 5 0 3 4 6 2 5 6 | 5:36 6:138 7:352 8:524 9:696 10:774 11:774 12:696 13:524 14:352 15:138 16:36 
84 0 1 2 3 4 5 6 | 0 1 3 2 4 1 5 0 6 2 3 4 5 6 | 5:6 6:92 7:322 8:538 9:694 10:868 11:868 12:694 13:538 14:322 15:92 16:6 
85 0 1 2 3 4 5 6 | 0 1 3 2 4 1 5 0 6 2 4 3 5 6 | 5:10 6:66 7:314 8:548 9:702 10:880 11:880 12:702 13:548 14:314 15:66 16:10 
86 0 1 2 3 4 5 6 | 0 1 3 2 4 1 5 0 6 3 4 2 5 6 | 5:10 6:66 7:314 8:548 9:702 10:880 11:880 12:702 13:548 14:314 15:66 16:10 
87 0 1 2 3 4 5 6 | 0 1 3 2 4 1 5 2 3 0 4 5 6 6 | 5:42 6:186 7:360 8:534 9:678 10:720 11:720 12:678 13:534 14:360 15:186 16:42 
88 0 1 2 3 4 5 6 | 0 1 3 2 4 1 5 2 3 0 6 4 5 6 | 5:12 6:135 7:333 8:552 9:696 10:792 11:792 12:696 13:552 14:333 15:135 16:12 
89 0 1 2 3 4 5 6 | 0 1 3 2 4 1 5 2 3 4 6 0 5 6 | 6:84 7:336 8:546 9:756 10:798 11:798 12:756 13:546 14:336 15:84 
90 0 1 2 3 4 5 6 | 0 1 3 2 4 1 5 2 6 0 3 4 5 6 | 6:54 7:283 8:547 9:741 10:895 11:895 12:741 13:547 14:283 15:54 
91 0 1 2 3 4 5 6 | 0 1 3 2 4 1 5 2 6 0 4 3 5 6 | 6:33 7:283 8:540 9:762 10:902 11:902 12:762 13:540 14:283 15:33 
92 0 1 2 3 4 5 6 | 0 1 3 2 4 1 5 2 6 3 4 0 5 6 | 6:11 7:233 8:560 9:802 10:914 11:914 12:802 13:560 14:233 15:11 
93 0 1 2 3 4 5 6 | 0 1 3 2 4 1 5 3 6 0 2 4 5 6 | 6:76 7:287 8:533 9:749 10:875 11:875 12:749 13:533 14:287 15:76 
94 0 1 2 3 4 5 6 | 0 1 3 2 4 1 5 3 6 0 4 2 5 6 | 6:55 7:287 8:526 9:770 10:882 11:882 12:770 13:526 14:287 15:55 
95 0 1 2 3 4 5 6 | 0 1 3 2 4 1 5 3 6 2 4 0 5 6 | 6:33 7:237 8:546 9:810 10:894 11:894 12:810 13:546 14:237 15:33 
96 0 1 2 3 4 5 6 | 0 1 3 2 4 1 6 0 2 3 5 4 5 6 | 5:4 6:134 7:342 8:508 9:694 10:838 11:838 12:694 13:508 14:342 15:134 16:4 
